TIME_UTC_SECONDS,TIME_UTC_STR,AIR_TEMP,TRACK_TEMP,HUMIDITY,PRESSURE,WIND_SPEED,WIND_DIRECTION,RAIN,LOCATION,EVENT
1618042506,2021-10-04 08:15:00,15.0,18.4,60,1018.05,2.12187,165,-1.0,Location 2,Free Practice 2
1618042567,2021-10-04 08:16:00,15.0556,18.4,60,1018.12,1.06093,177,-1.0,Location 2,Free Practice 2
1618042632,2021-10-04 08:17:00,15.0556,18.5,60,1018.12,2.12187,157,-1.0,Location 2,Free Practice 2
1618042697,2021-10-04 08:18:00,15.0556,18.5,60,1018.08,2.12187,163,-1.0,Location 2,Free Practice 2
1618042762,2021-10-04 08:19:00,15.1111,18.5,60,1018.15,3.1828,149,-1.0,Location 2,Free Practice 2
1618042822,2021-10-04 08:20:00,15.0556,18.5,60,1018.25,2.12187,130,-1.0,Location 2,Free Practice 2
1618042887,2021-10-04 08:21:00,15.1111,18.6,60,1018.25,6.3656,173,-1.0,Location 2,Free Practice 2
1618042953,2021-10-04 08:22:00,15.0556,18.6,60,1018.25,3.1828,175,-1.0,Location 2,Free Practice 2
1618043017,2021-10-04 08:23:00,15.0556,18.7,60,1018.25,4.24374,161,-1.0,Location 2,Free Practice 2
1618043078,2021-10-04 08:24:00,15.0556,18.7,60,1018.25,4.24374,143,-1.0,Location 2,Free Practice 2
1618043143,2021-10-04 08:25:00,15.0556,18.7,60,1018.22,3.1828,148,-1.0,Location 2,Free Practice 2
1618043208,2021-10-04 08:26:00,15.0556,18.8,60,1018.22,2.12187,76,-1.0,Location 2,Free Practice 2
1618043268,2021-10-04 08:27:00,15.0556,18.8,60,1018.15,4.24374,142,-1.0,Location 2,Free Practice 2
1618043333,2021-10-04 08:28:00,15.0556,18.9,60,1018.25,1.06093,140,-1.0,Location 2,Free Practice 2
1618043398,2021-10-04 08:29:00,15.0556,19.0,60,1018.22,6.3656,160,-1.0,Location 2,Free Practice 2
1618043463,2021-10-04 08:31:00,15.0,19.0,60,1018.29,4.24374,131,-1.0,Location 2,Free Practice 2
1618043528,2021-10-04 08:32:00,14.9444,19.1,60,1018.25,7.42654,141,-1.0,Location 2,Free Practice 2
1618043593,2021-10-04 08:33:00,14.8889,19.2,60,1018.29,2.12187,147,-1.0,Location 2,Free Practice 2
1618043654,2021-10-04 08:34:00,14.8889,19.3,61,1018.35,2.12187,165,-1.0,Location 2,Free Practice 2
1618043719,2021-10-04 08:35:00,14.8889,19.5,61,1018.35,6.3656,146,-1.0,Location 2,Free Practice 2
1618043784,2021-10-04 08:36:00,14.8889,19.5,60,1018.29,5.30467,166,-1.0,Location 2,Free Practice 2
1618043848,2021-10-04 08:37:00,14.8333,19.5,61,1018.39,3.1828,80,-1.0,Location 2,Free Practice 2
1618043909,2021-10-04 08:38:00,14.8333,19.6,61,1018.29,1.06093,163,-1.0,Location 2,Free Practice 2
1618043974,2021-10-04 08:39:00,14.8333,19.7,61,1018.29,2.12187,155,-1.0,Location 2,Free Practice 2
1618044039,2021-10-04 08:40:00,14.8333,19.7,61,1018.29,1.06093,155,-1.0,Location 2,Free Practice 2
1618044104,2021-10-04 08:41:00,14.8889,19.9,61,1018.29,2.12187,152,-1.0,Location 2,Free Practice 2
1618044164,2021-10-04 08:42:00,14.9444,20.0,61,1018.22,4.24374,159,-1.0,Location 2,Free Practice 2
1618044229,2021-10-04 08:43:00,15.0,20.0,61,1018.25,7.42654,102,-1.0,Location 2,Free Practice 2
1618044295,2021-10-04 08:44:00,15.0556,20.1,61,1018.25,3.1828,148,-1.0,Location 2,Free Practice 2
1618044360,2021-10-04 08:46:00,15.0556,20.1,61,1018.19,3.1828,151,-1.0,Location 2,Free Practice 2
1618044425,2021-10-04 08:47:00,15.0556,20.2,61,1018.15,4.24374,155,-1.0,Location 2,Free Practice 2
1618044490,2021-10-04 08:48:00,15.0556,20.4,61,1018.15,2.12187,171,-1.0,Location 2,Free Practice 2
1618045251,2021-10-04 09:00:00,15.3333,21.0,60,1018.15,6.3656,149,-1.0,Location 2,Free Practice 2
1618045316,2021-10-04 09:01:00,15.3333,20.9,60,1018.08,4.24374,149,-1.0,Location 2,Free Practice 2
1618045381,2021-10-04 09:03:00,15.2778,20.8,61,1018.19,6.3656,169,-1.0,Location 2,Free Practice 2
1618045441,2021-10-04 09:04:00,15.2222,20.7,61,1018.08,4.24374,159,-1.0,Location 2,Free Practice 2
1618045506,2021-10-04 09:05:00,15.1667,20.6,61,1018.05,2.12187,104,-1.0,Location 2,Free Practice 2
1618048832,2021-10-04 10:00:00,15.1667,20.0,62,1018.08,2.12187,141,-1.0,Location 2,Qualifying Group 1
1618048896,2021-10-04 10:01:00,15.1111,19.9,62,1018.19,3.1828,105,-1.0,Location 2,Qualifying Group 1
1618048957,2021-10-04 10:02:00,15.1111,19.9,63,1018.08,1.06093,181,-1.0,Location 2,Qualifying Group 1
1618049022,2021-10-04 10:03:00,15.1111,19.9,63,1017.98,4.24374,163,-1.0,Location 2,Qualifying Group 1
1618034429,2021-10-04 06:00:00,9.77778,11.2,68,1017.58,0.0,84,-1.0,Location 2,Free Practice 1
1618034495,2021-10-04 06:01:00,9.83333,11.2,68,1017.64,0.0,84,-1.0,Location 2,Free Practice 1
1618034560,2021-10-04 06:02:00,9.83333,11.2,68,1017.61,1.06093,84,-1.0,Location 2,Free Practice 1
1618034624,2021-10-04 06:03:00,9.94445,11.2,67,1017.64,0.0,84,-1.0,Location 2,Free Practice 1
1618034685,2021-10-04 06:04:00,9.94445,11.2,67,1017.61,0.0,84,-1.0,Location 2,Free Practice 1
1618034750,2021-10-04 06:05:00,10.0,11.2,67,1017.64,0.0,84,-1.0,Location 2,Free Practice 1
1618034815,2021-10-04 06:06:00,10.0556,11.3,67,1017.64,0.0,84,-1.0,Location 2,Free Practice 1
1618034880,2021-10-04 06:08:00,10.1111,11.3,67,1017.61,0.0,84,-1.0,Location 2,Free Practice 1
1618034940,2021-10-04 06:09:00,10.1667,11.4,67,1017.64,0.0,84,-1.0,Location 2,Free Practice 1
1618035005,2021-10-04 06:10:00,10.2222,11.4,67,1017.61,0.0,84,-1.0,Location 2,Free Practice 1
1618035070,2021-10-04 06:11:00,10.2778,11.5,67,1017.64,0.0,84,-1.0,Location 2,Free Practice 1
1618035135,2021-10-04 06:12:00,10.3333,11.5,66,1017.68,0.0,84,-1.0,Location 2,Free Practice 1
1618035196,2021-10-04 06:13:00,10.3889,11.6,66,1017.61,2.12187,83,-1.0,Location 2,Free Practice 1
1618035261,2021-10-04 06:14:00,10.4444,11.6,66,1017.61,1.06093,83,-1.0,Location 2,Free Practice 1
1618035326,2021-10-04 06:15:00,10.5,11.8,65,1017.68,2.12187,83,-1.0,Location 2,Free Practice 1
1618035401,2021-10-04 06:16:00,10.5,11.8,65,1017.61,1.06093,71,-1.0,Location 2,Free Practice 1
1618035466,2021-10-04 06:17:00,10.5556,11.9,65,1017.58,0.0,71,-1.0,Location 2,Free Practice 1
1618035526,2021-10-04 06:18:00,10.5556,11.9,65,1017.71,1.06093,71,-1.0,Location 2,Free Practice 1
1618035591,2021-10-04 06:19:00,10.5556,12.0,65,1017.71,0.0,71,-1.0,Location 2,Free Practice 1
1618035656,2021-10-04 06:20:00,10.5556,12.0,65,1017.75,0.0,71,-1.0,Location 2,Free Practice 1
1618035721,2021-10-04 06:22:00,10.6111,12.1,65,1017.71,0.0,71,-1.0,Location 2,Free Practice 1
1618035781,2021-10-04 06:23:00,10.6111,12.1,65,1017.71,0.0,71,-1.0,Location 2,Free Practice 1
1618035847,2021-10-04 06:24:00,10.6667,12.2,65,1017.64,0.0,71,-1.0,Location 2,Free Practice 1
1618035912,2021-10-04 06:25:00,10.6667,12.2,65,1017.61,0.0,71,-1.0,Location 2,Free Practice 1
1618035976,2021-10-04 06:26:00,10.7222,12.3,65,1017.64,0.0,71,-1.0,Location 2,Free Practice 1
1618036037,2021-10-04 06:27:00,10.7222,12.3,65,1017.54,0.0,71,-1.0,Location 2,Free Practice 1
1618036102,2021-10-04 06:28:00,10.7778,12.3,65,1017.64,0.0,71,-1.0,Location 2,Free Practice 1
1618036167,2021-10-04 06:29:00,10.7778,12.4,65,1017.71,0.0,71,-1.0,Location 2,Free Practice 1
1618036232,2021-10-04 06:30:00,10.8333,12.4,65,1017.68,0.0,71,-1.0,Location 2,Free Practice 1
1618036292,2021-10-04 06:31:00,10.8333,12.5,65,1017.58,0.0,71,-1.0,Location 2,Free Practice 1
1618036357,2021-10-04 06:32:00,10.8889,12.5,65,1017.58,0.0,71,-1.0,Location 2,Free Practice 1
1618036422,2021-10-04 06:33:00,10.8889,12.6,65,1017.68,0.0,71,-1.0,Location 2,Free Practice 1
1618036488,2021-10-04 06:34:00,10.9444,12.6,65,1017.64,0.0,71,-1.0,Location 2,Free Practice 1
1618036552,2021-10-04 06:35:00,10.9444,12.6,65,1017.51,0.0,71,-1.0,Location 2,Free Practice 1
1618036613,2021-10-04 06:36:00,10.9444,12.6,65,1017.54,0.0,71,-1.0,Location 2,Free Practice 1
1618036678,2021-10-04 06:37:00,11.0,12.6,65,1017.58,0.0,71,-1.0,Location 2,Free Practice 1
1618036743,2021-10-04 06:39:00,11.0,12.7,65,1017.64,0.0,71,-1.0,Location 2,Free Practice 1
1618036808,2021-10-04 06:40:00,11.0556,12.7,65,1017.54,0.0,71,-1.0,Location 2,Free Practice 1
1618036868,2021-10-04 06:41:00,11.0556,12.8,65,1017.51,0.0,71,-1.0,Location 2,Free Practice 1
1618036933,2021-10-04 06:42:00,11.1111,12.8,65,1017.47,0.0,71,-1.0,Location 2,Free Practice 1
1618036998,2021-10-04 06:43:00,11.1667,12.8,65,1017.58,0.0,71,-1.0,Location 2,Free Practice 1
1618037063,2021-10-04 06:44:00,11.1667,12.9,65,1017.58,0.0,71,-1.0,Location 2,Free Practice 1
1618049287,2021-10-04 10:08:00,15.0556,19.6,63,1018.08,2.12187,160,-1.0,Location 2,Qualifying Group 2
1618049352,2021-10-04 10:09:00,15.0556,19.6,63,1018.08,1.06093,169,-1.0,Location 2,Qualifying Group 2
1618049418,2021-10-04 10:10:00,15.0556,19.5,63,1018.02,2.12187,168,-1.0,Location 2,Qualifying Group 2
1618049482,2021-10-04 10:11:00,15.0556,19.5,63,1018.02,4.24374,167,-1.0,Location 2,Qualifying Group 2
1618050259,2021-10-04 10:24:00,14.9444,19.4,64,1017.91,1.06093,196,-1.0,Location 2,Qualifying Group 4
1618050323,2021-10-04 10:25:00,14.9444,19.7,64,1017.85,0.0,197,-1.0,Location 2,Qualifying Group 4
1618050384,2021-10-04 10:26:00,14.9444,19.9,64,1017.88,2.12187,196,-1.0,Location 2,Qualifying Group 4
1618050449,2021-10-04 10:27:00,15.0,20.1,64,1017.78,2.12187,194,-1.0,Location 2,Qualifying Group 4
1618049798,2021-10-04 10:16:00,14.9444,19.4,63,1017.98,2.12187,171,-1.0,Location 2,Qualifying Group 3
1618049863,2021-10-04 10:17:00,14.9444,19.4,63,1017.95,1.06093,148,-1.0,Location 2,Qualifying Group 3
1618049928,2021-10-04 10:18:00,14.9444,19.4,63,1017.91,1.06093,163,-1.0,Location 2,Qualifying Group 3
1618049993,2021-10-04 10:19:00,14.9444,19.4,63,1017.81,2.12187,163,-1.0,Location 2,Qualifying Group 3
1614430803,2021-02-27 13:00:00,22.8333,29.2,30,937.183,1.06093,322,-1.0,Location 1,Qualifying Group 1
1614430882,2021-02-27 13:01:00,22.8333,29.0,30,937.115,1.06093,315,-1.0,Location 1,Qualifying Group 1
1614430948,2021-02-27 13:02:00,22.8333,28.9,30,937.082,1.06093,125,-1.0,Location 1,Qualifying Group 1
